Ayah,Timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,0-5224,0-5224,0-5224,5224-7836,7836-11676,11676-15020,15020-19356,19356-21498,21498-25025,25025-32261,25025-32261,25025-32261,25025-32261,32261-34142,34142-37695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3093,0-3370,0-3370,3370-5695,5695-9039,5695-9039,9039-13245,13245-15465,15465-17346,17346-19932,19932-24190,24190-26384,26384-28996,28996-32627,28996-32627,32627-39393,32627-39393,32627-39393,39393-40830,40830-43103,43103-46185,46185-48954,48954-53134,48954-53134,53134-57366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,0-3213,0-3213,3213-7654,3213-7654,3213-7654,7654-11468,7654-11468,11468-13976,13976-18365,18365-23746,18365-23746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3095,0-1437,1437-5799,1437-5799,5799-8934,8934-11442,11442-14890,14890-20480,14890-20480,14890-20480,20480-25678,20480-25678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,0-2821,2821-5512,5512-9692,5512-9692,9692-13898,13898-16484,16484-19384,19384-28083,19384-28083,19384-28083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,0-2403,2403-10318,2403-10318,2403-10318,10318-15647,15647-19879,15647-19879,19879-22021,22021-24685,24685-27794,27794-31843,27794-31843,31843-35265,31843-35265,35265-38870,35265-38870,38870-41326,41326-44121,44121-48170,44121-48170,48170-52480,48170-52480,52480-55040,55040-60526,55040-60526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,0-1620,1620-5826,1620-5826,5826-7916,7916-11103,11103-15622,11103-15622,15622-18495,18495-20951,20951-23276,23276-25314,25314-29285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,0-1463,1463-5982,1463-5982,5982-7837,7837-10841,10841-16274,10841-16274,10841-16274,16274-17920,17920-20454,20454-24059,24059-29127,24059-29127,29127-33045,33045-36363,33045-36363,36363-39210,39210-42632,42632-46629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,0-4624,0-4624,4624-7419,7419-12304,7419-12304,12304-18155,12304-18155,12304-18155,18155-21838,18155-21838,21838-27089,21838-27089,27089-30354,30354-34899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,0-2560,2560-5695,5695-9248,9248-11547,11547-14133,14133-17895,14133-17895,17895-20533,20533-23145,23145-29414,23145-29414,23145-29414,29414-31321,31321-33437,33437-35292,35292-42032,35292-42032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,0-4780,0-4780,4780-9378,4780-9378,4780-9378,9378-11520,11520-14472,14472-19200,14472-19200,19200-21473,21473-28291,21473-28291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,0-2873,2873-6765,2873-6765,6765-13165,6765-13165,6765-13165,13165-15986,15986-19513,15986-19513,19513-22021,22021-23536,23536-26488,26488-32731,26488-32731,32731-35004,35004-37616,37616-43676,37616-43676,43676-49318,43676-49318,49318-51538,51538-53680,53680-59688,53680-59688,53680-59688,59688-65566,59688-65566,65566-68413,68413-72566,68413-72566,72566-74525,74525-77999,77999-81317,81317-85758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,0-4833,0-4833,4833-10162,4833-10162,10162-13323,10162-13323,13323-16850,16850-20455,20455-24008,24008-28161,24008-28161,28161-32759,32759-37983,32759-37983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,0-3605,0-3605,3605-6426,6426-9299,9299-12277,12277-15960,12277-15960,15960-18024,18024-25391,18024-25391,25391-29675,29675-31634,31634-34272,34272-38034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,0-2168,2168-4963,4963-10292,4963-10292,10292-13453,13453-19148,13453-19148,13453-19148,19148-21969,21969-26749,21969-26749,26749-29831,29831-33802,29831-33802,33802-36127,36127-39262,39262-43363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,0-5590,0-5590,0-5590,5590-8463,8463-10448,10448-14262,10448-14262,14262-15855,15855-18363,18363-22752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,0-2194,2194-6504,2194-6504,6504-9508,9508-12303,12303-14915,14915-18285,14915-18285,18285-20845,20845-27062,20845-27062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,0-3135,3135-4990,4990-8569,4990-8569,8569-10763,10763-12957,10763-12957,12957-16510,12957-16510,16510-21708,16510-21708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,0-3030,3030-5407,5407-8725,8725-11128,11128-14759,14759-17737,17737-21394,21394-24398,24398-28473,24398-28473,28473-31895,31895-35343,35343-37511,37511-40019,40019-44068,40019-44068,44068-46680,46680-49867,46680-49867,49867-54412,49867-54412,54412-61152,54412-61152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,0-4415,0-4415,4415-6635,6635-8620,6635-8620,8620-13662,13662-18886,13662-18886,18886-21603,21603-26801,21603-26801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,0-2116,2116-6531,2116-6531,6531-9091,6531-9091,9091-11468,11468-13662,13662-18678,13662-18678,13662-18678,18678-24634,18678-24634,18678-24634,24634-28996,28996-34194,28996-34194,28996-34194,34194-36623,36623-41090,36623-41090,41090-43833,43833-47438,47438-49894,49894-53055,53055-57470,53055-57470,57470-64157,57470-64157,64157-66560,66560-68362,68362-71026,71026-73194,73194-77008,73194-77008,77008-81266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,0-2586,2586-6661,6661-8150,8150-11964,8150-11964,11964-21551,11964-21551,11964-21551,21551-25861,21551-25861,25861-31085,25861-31085,31085-33332,33332-37721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,0-3109,3109-6061,6061-10841,6061-10841,10841-14289,14289-17868,17868-21081,21081-25208,21081-25208,25208-29022,29022-32784,29022-32784,32784-37329,37329-42971,37329-42971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,0-3866,3866-5512,5512-13270,13270-16222,13270-16222,13270-16222,16222-23824,23824-28500,23824-28500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,0-2560,0-2560,2560-6687,6687-9090,6687-9090,9090-12408,12408-14524,14524-20454,14524-20454,14524-20454,14524-20454,20454-22988,22988-27246,27246-32888,27246-32888,32888-34377,34377-37068,37068-41430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,0-2377,2377-4284,4284-8098,8098-9979,9979-15439,9979-15439,9979-15439,15439-17973,17973-22492,17973-22492,22492-24765,24765-27247,27247-29598,29598-33725,29598-33725,33725-37487,37487-40256,40256-42424,42424-46656,42424-46656,46656-49399,49399-53056,53056-57993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,0-4885,0-4885,4885-7445,7445-11154,7445-11154,11154-18129,11154-18129,11154-18129,18129-22047,18129-22047,22047-26645,22047-26645,26645-30093,26645-30093,30093-31686,31686-37067,31686-37067,37067-38765,38765-42030,42030-44329,44329-47150,47150-50076,50076-52192,52192-53655,53655-57260,57260-62511,57260-62511,62511-67082,62511-67082,67082-70974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,0-3709,3709-7209,7209-10840,10840-15385,10840-15385,15385-18964,18964-22177,22177-24946,24946-27872,27872-30589,30589-32836,32836-36467,36467-39131,39131-41247,41247-43859,43859-48718,43859-48718,48718-52976,48718-52976,52976-54569,54569-57260,57260-60499,60499-64731,60499-64731,64731-72463,64731-72463,64731-72463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120,0-4571,0-4571,4571-9351,4571-9351,9351-13818,9351-13818,13818-19016,13818-19016,19016-21419,21419-25729,21419-25729,25729-29099,29099-32626,29099-32626,32626-35134,35134-37746,37746-41612,37746-41612,41612-43859,43859-46941,46941-50650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,0-2090,2090-4650,4650-6400,6400-8829,8829-13766,8829-13766,13766-16848,16848-21106,21106-23875,23875-26487,26487-30275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,0-1463,1463-7628,1463-7628,7628-10789,10789-15256,10789-15256,15256-18156,18156-21500,21500-25157,21500-25157,25157-32184,25157-32184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,0-2534,2534-6766,2534-6766,6766-11990,6766-11990,11990-14367,14367-18103,14367-18103,18103-21107,21107-25130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,0-1489,1489-4127,4127-7863,7863-12199,7863-12199,12199-16274,12199-16274,16274-21655,16274-21655,21655-28813,21655-28813,21655-28813,28813-33881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,0-2116,2116-6243,2116-6243,6243-9508,9508-16352,9508-16352,9508-16352,16352-18677,18677-21577,21577-26723,21577-26723,26723-34220,26723-34220,26723-34220,34220-38478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126,0-4598,0-4598,0-4598,4598-6871,6871-9483,9483-11468,11468-15857,15857-19984,15857-19984,19984-23720,19984-23720,23720-25914,25914-27690,27690-36049,27690-36049,27690-36049,27690-36049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127,0-2847,2847-8359,2847-8359,2847-8359,8359-10684,10684-12147,12147-15203,15203-19304,19304-24973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128,0-2325,2325-4336,4336-7445,4336-7445,7445-9692,9692-11181,11181-13715,13715-16458,16458-17895,17895-21082,21082-24922,24922-28971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,0-3344,3344-5251,5251-9039,5251-9039,9039-11259,11259-13532,11259-13532,13532-16223,16223-21265,16223-21265,21265-24609,24609-29389,24609-29389,29389-32210,32210-37434,32210-37434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,0-4728,0-4728,4728-7314,7314-11833,7314-11833,7314-11833,11833-17502,11833-17502,17502-21394,17502-21394,21394-24346,24346-28395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,0-5747,0-5747,0-5747,5747-8046,8046-13140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132,0-4519,0-4519,4519-7941,7941-10893,10893-15229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3133,0-3187,3187-5460,5460-11520,5460-11520,5460-11520,11520-15125,15125-20088,15125-20088,20088-23170,23170-25521,25521-30354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,0-2978,2978-7158,7158-11468,7158-11468,11468-16196,16196-21368,16196-21368,21368-24999,24999-29832,24999-29832,29832-32941,32941-39106,32941-39106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,0-3213,3213-5251,5251-7942,7942-10946,10946-12566,12566-14943,14943-18574,18574-22153,18574-22153,22153-25444,25444-28892,28892-34352,28892-34352,28892-34352,34352-37905,34352-37905,37905-41562,37905-41562,41562-43809,43809-45768,45768-48276,48276-50314,50314-54311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,0-4284,4284-12983,4284-12983,4284-12983,4284-12983,12983-19148,12983-19148,19148-25078,19148-25078,19148-25078,25078-28500,28500-31008,31008-33516,33516-38897,33516-38897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,0-2038,2038-3997,3997-8124,3997-8124,8124-12957,8124-12957,12957-15987,12957-15987,15987-19200,19200-21368,21368-23562,23562-30406,23562-30406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138,0-2534,2534-7785,2534-7785,7785-16614,7785-16614,7785-16614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3139,0-3448,0-3448,3448-7340,3448-7340,7340-12747,7340-12747,12747-20558,12747-20558,12747-20558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140,0-4075,0-4075,4075-8124,4075-8124,8124-11442,8124-11442,11442-15543,11442-15543,15543-19932,15543-19932,19932-23380,23380-27507,23380-27507,27507-33724,27507-33724,27507-33724,33724-36545,36545-39732,39732-42658,42658-46237,46237-49267,49267-55275,49267-55275,49267-55275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,0-6243,0-6243,0-6243,6243-8881,8881-14785,8881-14785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142,0-1541,1541-4179,4179-10135,4179-10135,4179-10135,10135-13635,13635-18859,13635-18859,13635-18859,18859-21628,21628-24240,24240-29726,24240-29726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143,0-2560,2560-5747,5747-10763,5747-10763,10763-14316,10763-14316,14316-18391,14316-18391,18391-20429,20429-23982,23982-27691,27691-32106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144,0-4519,0-4519,4519-6792,6792-10528,6792-10528,10528-12304,12304-17215,12304-17215,12304-17215,17215-21395,17215-21395,21395-22962,22962-27063,22962-27063,27063-29179,29179-32497,32497-36833,32497-36833,36833-39106,39106-42215,42215-47283,42215-47283,42215-47283,47283-49817,49817-57027,49817-57027,49817-57027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,0-3161,0-3161,3161-5721,5721-9561,5721-9561,9561-11755,11755-15595,11755-15595,15595-20689,15595-20689,20689-24294,20689-24294,24294-28447,24294-28447,28447-31347,31347-33724,33724-37303,33724-37303,37303-41796,37303-41796,41796-44487,44487-46838,46838-52402,46838-52402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3146,0-8751,0-8751,0-8751,0-8751,8751-11389,11389-14759,14759-20323,14759-20323,14759-20323,20323-22700,22700-25573,25573-27584,27584-31189,27584-31189,31189-34794,31189-34794,34794-38477,34794-38477,38477-41350,41350-46810,41350-46810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3147,0-3135,0-3135,3135-5747,5747-8229,8229-11991,8229-11991,11991-16275,11991-16275,11991-16275,16275-19331,19331-23249,23249-25260,25260-27846,27846-30275,30275-33540,33540-37171,37171-43493,37171-43493,37171-43493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3148,0-4598,0-4598,4598-8569,4598-8569,8569-11051,11051-15152,11051-15152,15152-18052,18052-23512,18052-23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,0-4624,0-4624,4624-7315,7315-12722,7315-12722,7315-12722,12722-14995,14995-18208,18208-20402,20402-23484,23484-27585,27585-31817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,0-3135,0-3135,3135-5982,5982-8176,8176-14263,8176-14263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3151,0-2926,2926-4911,4911-9169,4911-9169,9169-12669,9169-12669,12669-14785,14785-17658,17658-20923,20923-22961,22961-26357,22961-26357,26357-28708,28708-31790,31790-37850,31790-37850,37850-40384,40384-45530,40384-45530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152,0-2560,2560-6713,2560-6713,6713-9325,9325-10814,10814-16221,10814-16221,16221-18807,18807-20818,20818-23300,23300-26879,26879-29570,26879-29570,29570-35291,29570-35291,29570-35291,35291-37146,37146-43912,37146-43912,37146-43912,43912-51749,43912-51749,43912-51749,43912-51749,51749-59690,51749-59690,51749-59690,51749-59690,59690-62877,62877-65515,65515-67997,67997-71706,71706-74005,74005-76539,76539-79517,79517-82338,82338-83984,83984-86178,86178-91089,86178-91089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3153,0-1515,1515-4676,4676-8438,4676-8438,8438-10737,10737-15413,10737-15413,15413-18757,18757-20586,20586-23512,23512-26725,26725-35293,26725-35293,26725-35293,26725-35293,35293-37644,37644-39394,39394-42032,42032-44174,44174-46081,46081-48954,48954-51827,51827-55798,51827-55798,55798-59377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3154,0-2978,2978-6478,6478-13583,6478-13583,6478-13583,6478-13583,13583-19539,13583-19539,13583-19539,19539-26252,19539-26252,26252-31816,26252-31816,31816-35343,35343-39287,39287-42996,42996-45843,45843-49370,45843-49370,49370-54568,49370-54568,54568-57781,57781-60498,57781-60498,60498-63528,60498-63528,63528-67969,63528-67969,67969-69432,69432-73272,69432-73272,73272-76224,76224-79803,79803-82703,82703-84401,84401-91637,84401-91637,84401-91637,84401-91637,91637-93152,93152-96313,96313-98063,98063-100388,100388-102530,102530-105482,102530-105482,105482-110471,105482-110471,105482-110471,110471-113292,113292-117576,113292-117576,113292-117576,117576-119457,119457-122879,122879-127241,122879-127241,127241-129540,129540-133955,129540-133955,133955-136175,136175-139649,139649-144586,139649-144586,144586-146467,146467-148348,148348-151378,151378-154852,154852-156733,156733-158692,158692-161539,161539-164491,164491-171675,164491-171675,164491-171675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155,0-4676,0-4676,4676-7393,7393-10554,10554-15935,10554-15935,10554-15935,15935-23484,15935-23484,15935-23484,23484-26540,26540-28473,28473-30693,30693-33331,33331-36466,33331-36466,36466-39000,39000-43258,39000-43258,43258-45792,45792-49528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
